SK_Staff,staff_id,first_name,last_name,email,phone,active,manager_id
1,3031,Fabiola,Jackson,fabiola.jackson@bikes.shop,(831) 555-5554,1,NULL
2,30310,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3037
3,3032,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,3031
4,3033,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,3032
5,3034,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,3032
6,3035,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,3031
7,3036,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,3035
8,3037,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,3035
9,3038,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3031
10,3039,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3037
11,3031,Fabiola,Jackson,fabiola.jackson@bikes.shop,(831) 555-5554,1,NULL
12,30310,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3037
13,3032,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,3031
14,3033,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,3032
15,3034,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,3032
16,3035,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,3031
17,3036,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,3035
18,3037,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,1,3035
19,3038,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3031
20,3039,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3037
